"","Kingdom","Phylum","Class","Order","Family","Genus"
"sp2156","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"sp2157","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"sp2158","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1"
"sp2159","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA
"sp2162","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"sp2163","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"sp2164","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens"
"sp2165","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"sp2167","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"sp2168","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9"
"sp2169","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"sp2171","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"sp2172","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella"
"sp2174","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sp2176","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"sp2177","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus"
"sp2178","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira"
"sp2179","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GCA-900066755"
"sp2180","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA
"sp2181","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"sp2182","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"sp2183","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia"
"sp2184","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sp2185","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella"
"sp2186","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"sp2187","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_AD3011_group"
"sp2188","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA
"sp2189","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter"
"sp2190","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4B4_group"
"sp2191","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-013"
"sp2192","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"sp2193","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
